executable,total_runs,masked,sdc,crash_hang,avg_time,median_time
basicmath_large_O0_exec,1000,340,659,1,0.153473,0.153131
basicmath_large_O1_exec,1000,416,583,1,0.134143,0.133753
basicmath_large_O2_exec,1000,428,572,0,0.134722,0.134400
basicmath_large_O3_exec,1000,421,579,0,0.133899,0.133751
basicmath_large_cse_exec,1000,375,625,0,0.149863,0.149461
basicmath_large_gvn_exec,1000,327,671,2,0.151595,0.151133
basicmath_large_inline_exec,1000,387,612,1,0.152639,0.152320
basicmath_large_instcombine_exec,1000,395,604,1,0.148581,0.148033
basicmath_large_ipsccp_exec,1000,356,644,0,0.151203,0.150957
basicmath_large_licm_exec,1000,418,582,0,0.151914,0.151582
basicmath_large_loopreduce_exec,1000,399,601,0,0.152978,0.152666
basicmath_large_sccp_exec,1000,396,603,1,0.150941,0.150654
basicmath_large_unroll4_exec,154,46,108,0,0.152497,0.152202
basicmath_large_unroll_exec,1000,363,637,0,0.202930,0.201986
basicmath_large_unswitch_exec,1000,381,618,1,0.202858,0.201976
