benchmark,leader_opt,second_opt,paired_executable,relative_folder,total_runs,masked,sdc,crash_hang,masked_rate,sdc_rate,crash_hang_rate,avg_time,median_time
basicmath_small,cse,early-cse,exec_basicmath_small_early-cse_early-cse,leader-cse/exec_basicmath_small_early-cse_early-cse,1000,182,817,1,0.182000,0.817000,0.001000,0.008985,0.008814
basicmath_small,cse,gvn,exec_basicmath_small_early-cse_gvn,leader-cse/exec_basicmath_small_early-cse_gvn,1000,183,816,1,0.183000,0.816000,0.001000,0.009099,0.008950
basicmath_small,cse,inline,exec_basicmath_small_early-cse_inline,leader-cse/exec_basicmath_small_early-cse_inline,1000,168,832,0,0.168000,0.832000,0.000000,0.009069,0.009098
basicmath_small,cse,instcombine,exec_basicmath_small_early-cse_instcombine,leader-cse/exec_basicmath_small_early-cse_instcombine,1000,114,886,0,0.114000,0.886000,0.000000,0.008838,0.008812
basicmath_small,cse,ipsccp,exec_basicmath_small_early-cse_ipsccp,leader-cse/exec_basicmath_small_early-cse_ipsccp,1000,123,877,0,0.123000,0.877000,0.000000,0.008810,0.008588
basicmath_small,cse,licm,exec_basicmath_small_early-cse_licm,leader-cse/exec_basicmath_small_early-cse_licm,1000,122,878,0,0.122000,0.878000,0.000000,0.008790,0.008694
basicmath_small,cse,loop-reduce,exec_basicmath_small_early-cse_loop-reduce,leader-cse/exec_basicmath_small_early-cse_loop-reduce,1000,89,911,0,0.089000,0.911000,0.000000,0.008589,0.008563
basicmath_small,cse,loop-unroll,exec_basicmath_small_early-cse_loop-unroll,leader-cse/exec_basicmath_small_early-cse_loop-unroll,1000,93,907,0,0.093000,0.907000,0.000000,0.008495,0.008419
basicmath_small,cse,sccp,exec_basicmath_small_early-cse_sccp,leader-cse/exec_basicmath_small_early-cse_sccp,1000,96,904,0,0.096000,0.904000,0.000000,0.008487,0.008434
basicmath_small,cse,simple-loop-unswitch,exec_basicmath_small_early-cse_simple-loop-unswitch,leader-cse/exec_basicmath_small_early-cse_simple-loop-unswitch,1000,93,907,0,0.093000,0.907000,0.000000,0.008557,0.008504
basicmath_small,gvn,,exec_basicmath_small_gvn,leader-gvn/exec_basicmath_small_gvn,1000,419,579,2,0.419000,0.579000,0.002000,0.008477,0.008387
basicmath_small,gvn,early-cse,exec_basicmath_small_gvn_early-cse,leader-gvn/exec_basicmath_small_gvn_early-cse,1000,368,631,1,0.368000,0.631000,0.001000,0.008471,0.008461
basicmath_small,gvn,gvn,exec_basicmath_small_gvn_gvn,leader-gvn/exec_basicmath_small_gvn_gvn,1000,372,627,1,0.372000,0.627000,0.001000,0.008516,0.008489
