executable,total_runs,masked,sdc,crash_hang,avg_time,median_time
fft_O0_exec,1000,370,453,177,0.007870,0.007762
fft_O1_exec,1000,657,291,52,0.007474,0.007306
fft_O2_exec,1000,696,243,61,0.007533,0.007588
fft_O3_exec,1000,697,252,51,0.007460,0.007287
fft_cse_exec,1000,356,438,206,0.007845,0.007665
fft_gvn_exec,1000,407,388,205,0.008055,0.008086
fft_inline_exec,1000,352,451,197,0.007960,0.008010
fft_instcombine_exec,1000,370,450,180,0.007837,0.007912
fft_ipsccp_exec,1000,380,456,164,0.007873,0.007752
fft_licm_exec,1000,497,308,195,0.008261,0.008295
fft_loopreduce_exec,1000,374,435,191,0.007797,0.007619
fft_sccp_exec,1000,390,422,188,0.007880,0.007885
fft_unroll4_exec,1000,372,450,178,0.007848,0.007663
fft_unroll_exec,1000,384,448,168,0.007762,0.007592
fft_unswitch_exec,1000,380,448,172,0.007779,0.007600
