benchmark,leader_opt,second_opt,paired_executable,relative_folder,total_runs,masked,sdc,crash_hang,masked_rate,sdc_rate,crash_hang_rate,avg_time,median_time
dijkstra_small,cse,,exec_dijkstra_small_early-cse,leader-cse/exec_dijkstra_small_early-cse,1000,600,378,22,0.600000,0.378000,0.022000,0.009099,0.009068
dijkstra_small,cse,early-cse,exec_dijkstra_small_early-cse_early-cse,leader-cse/exec_dijkstra_small_early-cse_early-cse,1000,607,372,21,0.607000,0.372000,0.021000,0.009108,0.009068
dijkstra_small,cse,gvn,exec_dijkstra_small_early-cse_gvn,leader-cse/exec_dijkstra_small_early-cse_gvn,1000,678,301,21,0.678000,0.301000,0.021000,0.012097,0.012029
dijkstra_small,cse,inline,exec_dijkstra_small_early-cse_inline,leader-cse/exec_dijkstra_small_early-cse_inline,1000,613,362,25,0.613000,0.362000,0.025000,0.009051,0.008996
dijkstra_small,cse,instcombine,exec_dijkstra_small_early-cse_instcombine,leader-cse/exec_dijkstra_small_early-cse_instcombine,1000,633,348,19,0.633000,0.348000,0.019000,0.009132,0.009043
dijkstra_small,cse,ipsccp,exec_dijkstra_small_early-cse_ipsccp,leader-cse/exec_dijkstra_small_early-cse_ipsccp,1000,593,380,27,0.593000,0.380000,0.027000,0.008925,0.008853
dijkstra_small,cse,licm,exec_dijkstra_small_early-cse_licm,leader-cse/exec_dijkstra_small_early-cse_licm,1000,622,346,32,0.622000,0.346000,0.032000,0.009605,0.009400
dijkstra_small,cse,loop-reduce,exec_dijkstra_small_early-cse_loop-reduce,leader-cse/exec_dijkstra_small_early-cse_loop-reduce,1000,610,363,27,0.610000,0.363000,0.027000,0.009160,0.009103
dijkstra_small,cse,loop-unroll,exec_dijkstra_small_early-cse_loop-unroll,leader-cse/exec_dijkstra_small_early-cse_loop-unroll,1000,639,339,22,0.639000,0.339000,0.022000,0.009312,0.009200
dijkstra_small,cse,sccp,exec_dijkstra_small_early-cse_sccp,leader-cse/exec_dijkstra_small_early-cse_sccp,1000,614,362,24,0.614000,0.362000,0.024000,0.009015,0.008967
dijkstra_small,cse,simple-loop-unswitch,exec_dijkstra_small_early-cse_simple-loop-unswitch,leader-cse/exec_dijkstra_small_early-cse_simple-loop-unswitch,1000,649,327,24,0.649000,0.327000,0.024000,0.009367,0.009306
dijkstra_small,gvn,,exec_dijkstra_small_gvn,leader-gvn/exec_dijkstra_small_gvn,1000,679,293,28,0.679000,0.293000,0.028000,0.012305,0.012129
dijkstra_small,gvn,early-cse,exec_dijkstra_small_gvn_early-cse,leader-gvn/exec_dijkstra_small_gvn_early-cse,1000,683,297,20,0.683000,0.297000,0.020000,0.012021,0.011957
dijkstra_small,gvn,gvn,exec_dijkstra_small_gvn_gvn,leader-gvn/exec_dijkstra_small_gvn_gvn,1000,674,306,20,0.674000,0.306000,0.020000,0.012055,0.011965
dijkstra_small,gvn,inline,exec_dijkstra_small_gvn_inline,leader-gvn/exec_dijkstra_small_gvn_inline,1000,684,297,19,0.684000,0.297000,0.019000,0.012275,0.012167
dijkstra_small,gvn,instcombine,exec_dijkstra_small_gvn_instcombine,leader-gvn/exec_dijkstra_small_gvn_instcombine,1000,672,314,14,0.672000,0.314000,0.014000,0.011972,0.011921
dijkstra_small,gvn,ipsccp,exec_dijkstra_small_gvn_ipsccp,leader-gvn/exec_dijkstra_small_gvn_ipsccp,1000,673,300,27,0.673000,0.300000,0.027000,0.011994,0.011957
dijkstra_small,gvn,licm,exec_dijkstra_small_gvn_licm,leader-gvn/exec_dijkstra_small_gvn_licm,1000,716,263,21,0.716000,0.263000,0.021000,0.012591,0.012501
dijkstra_small,gvn,loop-reduce,exec_dijkstra_small_gvn_loop-reduce,leader-gvn/exec_dijkstra_small_gvn_loop-reduce,1000,723,263,14,0.723000,0.263000,0.014000,0.012212,0.012065
dijkstra_small,gvn,loop-unroll,exec_dijkstra_small_gvn_loop-unroll,leader-gvn/exec_dijkstra_small_gvn_loop-unroll,1000,671,306,23,0.671000,0.306000,0.023000,0.012218,0.012163
dijkstra_small,gvn,sccp,exec_dijkstra_small_gvn_sccp,leader-gvn/exec_dijkstra_small_gvn_sccp,1000,686,290,24,0.686000,0.290000,0.024000,0.012150,0.012089
dijkstra_small,gvn,simple-loop-unswitch,exec_dijkstra_small_gvn_simple-loop-unswitch,leader-gvn/exec_dijkstra_small_gvn_simple-loop-unswitch,1000,710,273,17,0.710000,0.273000,0.017000,0.012157,0.012087
dijkstra_small,inline,,exec_dijkstra_small_inline,leader-inline/exec_dijkstra_small_inline,1000,527,443,30,0.527000,0.443000,0.030000,0.009591,0.009485
dijkstra_small,inline,early-cse,exec_dijkstra_small_inline_early-cse,leader-inline/exec_dijkstra_small_inline_early-cse,1000,624,345,31,0.624000,0.345000,0.031000,0.009070,0.009020
dijkstra_small,inline,gvn,exec_dijkstra_small_inline_gvn,leader-inline/exec_dijkstra_small_inline_gvn,1000,671,311,18,0.671000,0.311000,0.018000,0.012226,0.012101
dijkstra_small,inline,inline,exec_dijkstra_small_inline_inline,leader-inline/exec_dijkstra_small_inline_inline,1000,524,443,33,0.524000,0.443000,0.033000,0.009739,0.009685
dijkstra_small,inline,instcombine,exec_dijkstra_small_inline_instcombine,leader-inline/exec_dijkstra_small_inline_instcombine,1000,530,447,23,0.530000,0.447000,0.023000,0.013608,0.013521
dijkstra_small,inline,ipsccp,exec_dijkstra_small_inline_ipsccp,leader-inline/exec_dijkstra_small_inline_ipsccp,1000,520,456,24,0.520000,0.456000,0.024000,0.013159,0.013119
dijkstra_small,inline,licm,exec_dijkstra_small_inline_licm,leader-inline/exec_dijkstra_small_inline_licm,1000,563,414,23,0.563000,0.414000,0.023000,0.015605,0.015582
dijkstra_small,inline,loop-reduce,exec_dijkstra_small_inline_loop-reduce,leader-inline/exec_dijkstra_small_inline_loop-reduce,1000,489,475,36,0.489000,0.475000,0.036000,0.012942,0.012940
dijkstra_small,inline,loop-unroll,exec_dijkstra_small_inline_loop-unroll,leader-inline/exec_dijkstra_small_inline_loop-unroll,1000,518,449,33,0.518000,0.449000,0.033000,0.009705,0.009657
dijkstra_small,inline,sccp,exec_dijkstra_small_inline_sccp,leader-inline/exec_dijkstra_small_inline_sccp,1000,515,450,35,0.515000,0.450000,0.035000,0.009457,0.009406
dijkstra_small,inline,simple-loop-unswitch,exec_dijkstra_small_inline_simple-loop-unswitch,leader-inline/exec_dijkstra_small_inline_simple-loop-unswitch,1000,513,456,31,0.513000,0.456000,0.031000,0.009647,0.009606
dijkstra_small,instcombine,,exec_dijkstra_small_instcombine,leader-instcombine/exec_dijkstra_small_instcombine,1000,529,442,29,0.529000,0.442000,0.029000,0.009251,0.009208
dijkstra_small,instcombine,early-cse,exec_dijkstra_small_instcombine_early-cse,leader-instcombine/exec_dijkstra_small_instcombine_early-cse,1000,600,370,30,0.600000,0.370000,0.030000,0.008928,0.008892
dijkstra_small,instcombine,gvn,exec_dijkstra_small_instcombine_gvn,leader-instcombine/exec_dijkstra_small_instcombine_gvn,1000,692,289,19,0.692000,0.289000,0.019000,0.011950,0.011880
dijkstra_small,instcombine,inline,exec_dijkstra_small_instcombine_inline,leader-instcombine/exec_dijkstra_small_instcombine_inline,1000,517,454,29,0.517000,0.454000,0.029000,0.009166,0.009114
dijkstra_small,instcombine,instcombine,exec_dijkstra_small_instcombine_instcombine,leader-instcombine/exec_dijkstra_small_instcombine_instcombine,1000,529,446,25,0.529000,0.446000,0.025000,0.009137,0.009113
dijkstra_small,instcombine,ipsccp,exec_dijkstra_small_instcombine_ipsccp,leader-instcombine/exec_dijkstra_small_instcombine_ipsccp,1000,556,424,20,0.556000,0.424000,0.020000,0.009186,0.009133
dijkstra_small,instcombine,licm,exec_dijkstra_small_instcombine_licm,leader-instcombine/exec_dijkstra_small_instcombine_licm,1000,552,425,23,0.552000,0.425000,0.023000,0.009151,0.009119
dijkstra_small,instcombine,loop-reduce,exec_dijkstra_small_instcombine_loop-reduce,leader-instcombine/exec_dijkstra_small_instcombine_loop-reduce,1000,533,441,26,0.533000,0.441000,0.026000,0.009219,0.009169
dijkstra_small,instcombine,loop-unroll,exec_dijkstra_small_instcombine_loop-unroll,leader-instcombine/exec_dijkstra_small_instcombine_loop-unroll,1000,508,460,32,0.508000,0.460000,0.032000,0.009273,0.009215
dijkstra_small,instcombine,sccp,exec_dijkstra_small_instcombine_sccp,leader-instcombine/exec_dijkstra_small_instcombine_sccp,1000,523,445,32,0.523000,0.445000,0.032000,0.009105,0.009073
dijkstra_small,instcombine,simple-loop-unswitch,exec_dijkstra_small_instcombine_simple-loop-unswitch,leader-instcombine/exec_dijkstra_small_instcombine_simple-loop-unswitch,1000,514,439,47,0.514000,0.439000,0.047000,0.009271,0.009148
dijkstra_small,ipsccp,,exec_dijkstra_small_ipsccp,leader-ipsccp/exec_dijkstra_small_ipsccp,18,11,7,0,0.611111,0.388889,0.000000,0.009547,0.009493
dijkstra_small,ipsccp,early-cse,exec_dijkstra_small_ipsccp_early-cse,leader-ipsccp/exec_dijkstra_small_ipsccp_early-cse,2,1,1,0,0.500000,0.500000,0.000000,0.009333,0.009106
dijkstra_small,ipsccp,gvn,exec_dijkstra_small_ipsccp_gvn,leader-ipsccp/exec_dijkstra_small_ipsccp_gvn,12,9,3,0,0.750000,0.250000,0.000000,0.012021,0.011971
dijkstra_small,ipsccp,inline,exec_dijkstra_small_ipsccp_inline,leader-ipsccp/exec_dijkstra_small_ipsccp_inline,15,8,7,0,0.533333,0.466667,0.000000,0.009454,0.009421
dijkstra_small,ipsccp,instcombine,exec_dijkstra_small_ipsccp_instcombine,leader-ipsccp/exec_dijkstra_small_ipsccp_instcombine,16,9,7,0,0.562500,0.437500,0.000000,0.009218,0.009163
dijkstra_small,ipsccp,ipsccp,exec_dijkstra_small_ipsccp_ipsccp,leader-ipsccp/exec_dijkstra_small_ipsccp_ipsccp,16,9,7,0,0.562500,0.437500,0.000000,0.009532,0.009453
dijkstra_small,ipsccp,licm,exec_dijkstra_small_ipsccp_licm,leader-ipsccp/exec_dijkstra_small_ipsccp_licm,28,17,10,1,0.607143,0.357143,0.035714,0.009300,0.009163
dijkstra_small,ipsccp,loop-reduce,exec_dijkstra_small_ipsccp_loop-reduce,leader-ipsccp/exec_dijkstra_small_ipsccp_loop-reduce,14,8,6,0,0.571429,0.428571,0.000000,0.009830,0.009739
dijkstra_small,ipsccp,loop-unroll,exec_dijkstra_small_ipsccp_loop-unroll,leader-ipsccp/exec_dijkstra_small_ipsccp_loop-unroll,13,7,6,0,0.538462,0.461538,0.000000,0.009355,0.009323
dijkstra_small,ipsccp,sccp,exec_dijkstra_small_ipsccp_sccp,leader-ipsccp/exec_dijkstra_small_ipsccp_sccp,38,22,15,1,0.578947,0.394737,0.026316,0.009633,0.009499
dijkstra_small,ipsccp,simple-loop-unswitch,exec_dijkstra_small_ipsccp_simple-loop-unswitch,leader-ipsccp/exec_dijkstra_small_ipsccp_simple-loop-unswitch,13,8,4,1,0.615385,0.307692,0.076923,0.009547,0.009439
dijkstra_small,licm,,exec_dijkstra_small_licm,leader-licm/exec_dijkstra_small_licm,1000,567,398,35,0.567000,0.398000,0.035000,0.009406,0.009297
dijkstra_small,licm,early-cse,exec_dijkstra_small_licm_early-cse,leader-licm/exec_dijkstra_small_licm_early-cse,1000,613,358,29,0.613000,0.358000,0.029000,0.009424,0.009280
dijkstra_small,licm,gvn,exec_dijkstra_small_licm_gvn,leader-licm/exec_dijkstra_small_licm_gvn,1000,683,295,22,0.683000,0.295000,0.022000,0.012091,0.012016
dijkstra_small,licm,inline,exec_dijkstra_small_licm_inline,leader-licm/exec_dijkstra_small_licm_inline,1000,563,404,33,0.563000,0.404000,0.033000,0.009244,0.009204
dijkstra_small,licm,instcombine,exec_dijkstra_small_licm_instcombine,leader-licm/exec_dijkstra_small_licm_instcombine,0,0,0,0,0.000000,0.000000,0.000000,0.010979,0.010961
dijkstra_small,licm,ipsccp,exec_dijkstra_small_licm_ipsccp,leader-licm/exec_dijkstra_small_licm_ipsccp,1000,558,415,27,0.558000,0.415000,0.027000,0.009253,0.009193
dijkstra_small,licm,licm,exec_dijkstra_small_licm_licm,leader-licm/exec_dijkstra_small_licm_licm,1000,565,402,33,0.565000,0.402000,0.033000,0.009216,0.009185
dijkstra_small,licm,loop-reduce,exec_dijkstra_small_licm_loop-reduce,leader-licm/exec_dijkstra_small_licm_loop-reduce,1000,579,401,20,0.579000,0.401000,0.020000,0.009555,0.009387
dijkstra_small,licm,loop-unroll,exec_dijkstra_small_licm_loop-unroll,leader-licm/exec_dijkstra_small_licm_loop-unroll,1000,586,386,28,0.586000,0.386000,0.028000,0.009395,0.009234
dijkstra_small,licm,sccp,exec_dijkstra_small_licm_sccp,leader-licm/exec_dijkstra_small_licm_sccp,1000,551,422,27,0.551000,0.422000,0.027000,0.009370,0.009303
dijkstra_small,licm,simple-loop-unswitch,exec_dijkstra_small_licm_simple-loop-unswitch,leader-licm/exec_dijkstra_small_licm_simple-loop-unswitch,1000,562,408,30,0.562000,0.408000,0.030000,0.009165,0.009108
dijkstra_small,loop-reduce,,exec_dijkstra_small_loop-reduce,leader-loop-reduce/exec_dijkstra_small_loop-reduce,1000,512,457,31,0.512000,0.457000,0.031000,0.009725,0.009599
dijkstra_small,loop-reduce,early-cse,exec_dijkstra_small_loop-reduce_early-cse,leader-loop-reduce/exec_dijkstra_small_loop-reduce_early-cse,1000,600,378,22,0.600000,0.378000,0.022000,0.014515,0.014503
dijkstra_small,loop-reduce,gvn,exec_dijkstra_small_loop-reduce_gvn,leader-loop-reduce/exec_dijkstra_small_loop-reduce_gvn,1000,667,312,21,0.667000,0.312000,0.021000,0.018908,0.018859
dijkstra_small,loop-reduce,inline,exec_dijkstra_small_loop-reduce_inline,leader-loop-reduce/exec_dijkstra_small_loop-reduce_inline,1000,568,407,25,0.568000,0.407000,0.025000,0.013160,0.013049
dijkstra_small,loop-reduce,instcombine,exec_dijkstra_small_loop-reduce_instcombine,leader-loop-reduce/exec_dijkstra_small_loop-reduce_instcombine,1000,528,449,23,0.528000,0.449000,0.023000,0.013391,0.013391
dijkstra_small,loop-reduce,ipsccp,exec_dijkstra_small_loop-reduce_ipsccp,leader-loop-reduce/exec_dijkstra_small_loop-reduce_ipsccp,1000,571,401,28,0.571000,0.401000,0.028000,0.013088,0.013067
dijkstra_small,loop-reduce,licm,exec_dijkstra_small_loop-reduce_licm,leader-loop-reduce/exec_dijkstra_small_loop-reduce_licm,1000,576,393,31,0.576000,0.393000,0.031000,0.015558,0.015561
dijkstra_small,loop-reduce,loop-reduce,exec_dijkstra_small_loop-reduce_loop-reduce,leader-loop-reduce/exec_dijkstra_small_loop-reduce_loop-reduce,1000,541,430,29,0.541000,0.430000,0.029000,0.009604,0.009552
dijkstra_small,loop-reduce,loop-unroll,exec_dijkstra_small_loop-reduce_loop-unroll,leader-loop-reduce/exec_dijkstra_small_loop-reduce_loop-unroll,1000,513,459,28,0.513000,0.459000,0.028000,0.009579,0.009544
dijkstra_small,loop-reduce,sccp,exec_dijkstra_small_loop-reduce_sccp,leader-loop-reduce/exec_dijkstra_small_loop-reduce_sccp,1000,524,445,31,0.524000,0.445000,0.031000,0.009414,0.009384
dijkstra_small,loop-reduce,simple-loop-unswitch,exec_dijkstra_small_loop-reduce_simple-loop-unswitch,leader-loop-reduce/exec_dijkstra_small_loop-reduce_simple-loop-unswitch,1000,530,441,29,0.530000,0.441000,0.029000,0.009728,0.009662
dijkstra_small,loop-unroll,,exec_dijkstra_small_loop-unroll,leader-loop-unroll/exec_dijkstra_small_loop-unroll,1000,508,464,28,0.508000,0.464000,0.028000,0.009588,0.009544
dijkstra_small,loop-unroll,early-cse,exec_dijkstra_small_loop-unroll_early-cse,leader-loop-unroll/exec_dijkstra_small_loop-unroll_early-cse,1000,640,336,24,0.640000,0.336000,0.024000,0.009015,0.008968
dijkstra_small,loop-unroll,gvn,exec_dijkstra_small_loop-unroll_gvn,leader-loop-unroll/exec_dijkstra_small_loop-unroll_gvn,1000,672,314,14,0.672000,0.314000,0.014000,0.012054,0.011993
dijkstra_small,loop-unroll,inline,exec_dijkstra_small_loop-unroll_inline,leader-loop-unroll/exec_dijkstra_small_loop-unroll_inline,1000,555,413,32,0.555000,0.413000,0.032000,0.009539,0.009508
dijkstra_small,loop-unroll,instcombine,exec_dijkstra_small_loop-unroll_instcombine,leader-loop-unroll/exec_dijkstra_small_loop-unroll_instcombine,1000,523,451,26,0.523000,0.451000,0.026000,0.009317,0.009197
dijkstra_small,loop-unroll,ipsccp,exec_dijkstra_small_loop-unroll_ipsccp,leader-loop-unroll/exec_dijkstra_small_loop-unroll_ipsccp,1000,551,427,22,0.551000,0.427000,0.022000,0.009674,0.009638
dijkstra_small,loop-unroll,licm,exec_dijkstra_small_loop-unroll_licm,leader-loop-unroll/exec_dijkstra_small_loop-unroll_licm,1000,605,364,31,0.605000,0.364000,0.031000,0.009292,0.009216
dijkstra_small,loop-unroll,loop-reduce,exec_dijkstra_small_loop-unroll_loop-reduce,leader-loop-unroll/exec_dijkstra_small_loop-unroll_loop-reduce,1000,534,441,25,0.534000,0.441000,0.025000,0.009510,0.009483
dijkstra_small,loop-unroll,loop-unroll,exec_dijkstra_small_loop-unroll_loop-unroll,leader-loop-unroll/exec_dijkstra_small_loop-unroll_loop-unroll,1000,525,453,22,0.525000,0.453000,0.022000,0.009451,0.009443
dijkstra_small,loop-unroll,sccp,exec_dijkstra_small_loop-unroll_sccp,leader-loop-unroll/exec_dijkstra_small_loop-unroll_sccp,1000,545,424,31,0.545000,0.424000,0.031000,0.009676,0.009554
dijkstra_small,loop-unroll,simple-loop-unswitch,exec_dijkstra_small_loop-unroll_simple-loop-unswitch,leader-loop-unroll/exec_dijkstra_small_loop-unroll_simple-loop-unswitch,1000,548,425,27,0.548000,0.425000,0.027000,0.009619,0.009599
dijkstra_small,loop-unswitch,simple-loop-unswitch,exec_dijkstra_small_sccp_simple-loop-unswitch,leader-loop-unswitch/exec_dijkstra_small_sccp_simple-loop-unswitch,1000,529,443,28,0.529000,0.443000,0.028000,,
dijkstra_small,loop-unswitch,,exec_dijkstra_small_simple-loop-unswitch,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch,1000,552,421,27,0.552000,0.421000,0.027000,0.009622,0.009571
dijkstra_small,loop-unswitch,early-cse,exec_dijkstra_small_simple-loop-unswitch_early-cse,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_early-cse,1000,611,365,24,0.611000,0.365000,0.024000,0.009160,0.009137
dijkstra_small,loop-unswitch,gvn,exec_dijkstra_small_simple-loop-unswitch_gvn,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_gvn,1000,677,299,24,0.677000,0.299000,0.024000,0.012038,0.012021
dijkstra_small,loop-unswitch,inline,exec_dijkstra_small_simple-loop-unswitch_inline,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_inline,1000,505,456,39,0.505000,0.456000,0.039000,0.009579,0.009535
dijkstra_small,loop-unswitch,instcombine,exec_dijkstra_small_simple-loop-unswitch_instcombine,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_instcombine,1000,586,386,28,0.586000,0.386000,0.028000,0.009321,0.009298
dijkstra_small,loop-unswitch,ipsccp,exec_dijkstra_small_simple-loop-unswitch_ipsccp,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_ipsccp,1000,521,457,22,0.521000,0.457000,0.022000,0.009574,0.009517
dijkstra_small,loop-unswitch,licm,exec_dijkstra_small_simple-loop-unswitch_licm,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_licm,1000,576,395,29,0.576000,0.395000,0.029000,0.009349,0.009226
dijkstra_small,loop-unswitch,loop-reduce,exec_dijkstra_small_simple-loop-unswitch_loop-reduce,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_loop-reduce,1000,541,433,26,0.541000,0.433000,0.026000,0.009507,0.009471
dijkstra_small,loop-unswitch,loop-unroll,exec_dijkstra_small_simple-loop-unswitch_loop-unroll,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_loop-unroll,1000,512,451,37,0.512000,0.451000,0.037000,0.009485,0.009383
dijkstra_small,loop-unswitch,sccp,exec_dijkstra_small_simple-loop-unswitch_sccp,leader-loop-unswitch/exec_dijkstra_small_simple-loop-unswitch_sccp,1000,517,450,33,0.517000,0.450000,0.033000,0.009710,0.009662
