benchmark,leader_opt,second_opt,paired_executable,relative_folder,total_runs,masked,sdc,crash_hang,masked_rate,sdc_rate,crash_hang_rate,avg_time,median_time
patricia_small,cse,,exec_patricia_small_early-cse,leader-cse/exec_patricia_small_early-cse,1000,31,16,953,0.031000,0.016000,0.953000,0.011077,0.011037
patricia_small,cse,early-cse,exec_patricia_small_early-cse_early-cse,leader-cse/exec_patricia_small_early-cse_early-cse,1000,143,111,746,0.143000,0.111000,0.746000,0.011225,0.011193
patricia_small,cse,gvn,exec_patricia_small_early-cse_gvn,leader-cse/exec_patricia_small_early-cse_gvn,1000,138,109,753,0.138000,0.109000,0.753000,0.011043,0.011008
patricia_small,cse,inline,exec_patricia_small_early-cse_inline,leader-cse/exec_patricia_small_early-cse_inline,1000,130,137,733,0.130000,0.137000,0.733000,0.013788,0.013785
patricia_small,cse,instcombine,exec_patricia_small_early-cse_instcombine,leader-cse/exec_patricia_small_early-cse_instcombine,1000,142,116,742,0.142000,0.116000,0.742000,0.013890,0.013785
patricia_small,cse,ipsccp,exec_patricia_small_early-cse_ipsccp,leader-cse/exec_patricia_small_early-cse_ipsccp,1000,125,115,760,0.125000,0.115000,0.760000,0.013773,0.013763
patricia_small,cse,licm,exec_patricia_small_early-cse_licm,leader-cse/exec_patricia_small_early-cse_licm,1000,469,309,222,0.469000,0.309000,0.222000,0.013876,0.013825
patricia_small,cse,loop-reduce,exec_patricia_small_early-cse_loop-reduce,leader-cse/exec_patricia_small_early-cse_loop-reduce,1000,129,114,757,0.129000,0.114000,0.757000,0.013641,0.013662
patricia_small,cse,loop-unroll,exec_patricia_small_early-cse_loop-unroll,leader-cse/exec_patricia_small_early-cse_loop-unroll,1000,527,470,3,0.527000,0.470000,0.003000,0.013962,0.013911
patricia_small,cse,simple-loop-unswitch,exec_patricia_small_early-cse_simple-loop-unswitch,leader-cse/exec_patricia_small_early-cse_simple-loop-unswitch,1000,544,454,2,0.544000,0.454000,0.002000,0.011108,0.010990
patricia_small,gvn,,exec_patricia_small_gvn,leader-gvn/exec_patricia_small_gvn,1000,555,437,8,0.555000,0.437000,0.008000,0.011400,0.011248
patricia_small,gvn,early-cse,exec_patricia_small_gvn_early-cse,leader-gvn/exec_patricia_small_gvn_early-cse,1000,585,409,6,0.585000,0.409000,0.006000,0.011067,0.011036
patricia_small,gvn,gvn,exec_patricia_small_gvn_gvn,leader-gvn/exec_patricia_small_gvn_gvn,1000,545,448,7,0.545000,0.448000,0.007000,0.011136,0.011095
