benchmark,leader_opt,second_opt,paired_executable,relative_folder,total_runs,masked,sdc,crash_hang,masked_rate,sdc_rate,crash_hang_rate,avg_time,median_time
qsort_small,cse,,exec_qsort_small_early-cse,leader-cse/exec_qsort_small_early-cse,1000,370,175,455,0.370000,0.175000,0.455000,0.006055,0.006041
qsort_small,cse,early-cse,exec_qsort_small_early-cse_early-cse,leader-cse/exec_qsort_small_early-cse_early-cse,1000,409,162,429,0.409000,0.162000,0.429000,0.005975,0.005979
qsort_small,cse,gvn,exec_qsort_small_early-cse_gvn,leader-cse/exec_qsort_small_early-cse_gvn,1000,402,163,435,0.402000,0.163000,0.435000,0.005915,0.005905
qsort_small,cse,inline,exec_qsort_small_early-cse_inline,leader-cse/exec_qsort_small_early-cse_inline,1000,391,180,429,0.391000,0.180000,0.429000,0.006055,0.005946
qsort_small,cse,instcombine,exec_qsort_small_early-cse_instcombine,leader-cse/exec_qsort_small_early-cse_instcombine,1000,446,143,411,0.446000,0.143000,0.411000,0.005830,0.005811
qsort_small,cse,ipsccp,exec_qsort_small_early-cse_ipsccp,leader-cse/exec_qsort_small_early-cse_ipsccp,1000,392,170,438,0.392000,0.170000,0.438000,0.005883,0.005887
qsort_small,cse,licm,exec_qsort_small_early-cse_licm,leader-cse/exec_qsort_small_early-cse_licm,1000,416,146,438,0.416000,0.146000,0.438000,0.005869,0.005872
qsort_small,cse,loop-reduce,exec_qsort_small_early-cse_loop-reduce,leader-cse/exec_qsort_small_early-cse_loop-reduce,1000,392,168,440,0.392000,0.168000,0.440000,0.005969,0.005949
qsort_small,cse,loop-unroll,exec_qsort_small_early-cse_loop-unroll,leader-cse/exec_qsort_small_early-cse_loop-unroll,1000,394,162,444,0.394000,0.162000,0.444000,0.005962,0.005958
qsort_small,cse,sccp,exec_qsort_small_early-cse_sccp,leader-cse/exec_qsort_small_early-cse_sccp,1000,385,168,447,0.385000,0.168000,0.447000,0.005826,0.005822
qsort_small,cse,simple-loop-unswitch,exec_qsort_small_early-cse_simple-loop-unswitch,leader-cse/exec_qsort_small_early-cse_simple-loop-unswitch,1000,348,179,473,0.348000,0.179000,0.473000,0.006407,0.006339
qsort_small,gvn,,exec_qsort_small_gvn,leader-gvn/exec_qsort_small_gvn,1000,401,183,416,0.401000,0.183000,0.416000,0.006104,0.006075
qsort_small,gvn,early-cse,exec_qsort_small_gvn_early-cse,leader-gvn/exec_qsort_small_gvn_early-cse,1000,386,179,435,0.386000,0.179000,0.435000,0.006046,0.006037
qsort_small,gvn,gvn,exec_qsort_small_gvn_gvn,leader-gvn/exec_qsort_small_gvn_gvn,1000,389,167,444,0.389000,0.167000,0.444000,0.005813,0.005824
qsort_small,gvn,inline,exec_qsort_small_gvn_inline,leader-gvn/exec_qsort_small_gvn_inline,1000,402,166,432,0.402000,0.166000,0.432000,0.006134,0.006113
qsort_small,gvn,instcombine,exec_qsort_small_gvn_instcombine,leader-gvn/exec_qsort_small_gvn_instcombine,1000,445,169,386,0.445000,0.169000,0.386000,0.005437,0.005426
qsort_small,gvn,ipsccp,exec_qsort_small_gvn_ipsccp,leader-gvn/exec_qsort_small_gvn_ipsccp,1000,382,176,442,0.382000,0.176000,0.442000,0.006033,0.006029
qsort_small,gvn,licm,exec_qsort_small_gvn_licm,leader-gvn/exec_qsort_small_gvn_licm,1000,434,158,408,0.434000,0.158000,0.408000,0.006071,0.005993
